date,headline,desc
2022-12-30 02:15:00,"Ukraine live briefing: Zelensky looks to strengthen air defense in new year; Russia’s Putin, China’s Xi meet",Air raid sirens sounded in Kyiv a day after explosions rippled across the country in one of the fiercest attacks by Russia in recent weeks
2022-12-29 06:07:00,Russia pummels Ukraine’s energy infrastructure in ‘massive’ missile attack,"Ukrainian officials said dozens of missiles were launched in Kyiv, Odessa, Kharkiv and Lviv. At least three people were hospitalized in the capital. "
2022-12-29 02:23:00,"Ukraine live briefing: Belarus shoots down Ukraine missile; Russian strikes knock out power in Kyiv, Lviv","Ukraine’s armed forces said they shot down most of the Russian missiles as attacks were reported in Kyiv, Kharkiv, Odessa and Lviv."
2022-12-29 01:00:00,5 key takeaways on how Ukraine’s counteroffensives reshaped the war,Here are 5 key takeaways on how Ukraine’s counteroffensives in Kharkiv and Kherson reshaped the war and shocked Putin. 
2022-12-28 02:45:00,Ukraine live briefing: French defense minister visits Kyiv; Paul Whelan marks four years in Russian detention ,"Sébastien Lecornu's visit, which includes a working meeting to discuss future French support for Ukraine's war effort, marks his first trip since the invasion began."
2022-12-27 02:01:00,Ukraine live briefing: Putin bans sale of Russian oil to countries involved in price cap; Kyiv seeks U.N. peace summit,"A Ukrainian drone was shot down near Russia's Engels airfield, deep within the country, killing three people, Moscow officials said. "
2022-12-26 01:00:00,"For Ukraine, Hungary’s Orban is another problematic strongman next door  ","The Hungarian prime minister has cozy relations with Moscow, repeatedly stalls European Union sanctions, and insists that Kyiv should be forced to negotiate a peace deal"
2022-12-25 15:32:00,"In Ukraine, a new wartime debate: When is Christmas?",The Ukrainian Orthodox Church has said congregations can hold religious Christmas services on Dec. 25 rather than on traditional Orthodox Christmas in January. 
2022-12-25 01:00:00,"As Russia bombs Ukraine’s infrastructure, its own services crumble","Russian airstrikes are depriving Ukrainians of power, water and heat, but many service failures in Russia are the result of corruption and government neglect."
2022-12-23 18:43:00,"Using conscripts and prison inmates, Russia doubles its forces in Ukraine  ","Russia now has over twice the number of troops as it did in February, including thousands of released convicts and conscripts from a recent mobilization drive."
2022-12-23 04:47:00,Ukraine live briefing: House approves additional $44.9 billion to Ukraine,"The House of Representatives voted 225-201 on Friday, with one member abstaining, to approve a $1.7 trillion bill that includes nearly $44.9 billion in aid to Ukraine."
2022-12-22 03:00:00,The ragtag force of volunteer paramedics evacuating Ukraine’s injured,"A day in the life of volunteer paramedics who make daily runs into Ukraine, where the medical system is buckling under the pressure of war."
